SYMBOL,PN,TYPE,DATE,VOL
NG,N/A,QMLE-Trade,26/04/2023,0.593235
NG,N/A,QMLE-Trade,27/04/2023,0.6559
NG,N/A,QMLE-Trade,28/04/2023,0.944572
NG,N/A,QMLE-Trade,01/05/2023,0.563785
NG,N/A,QMLE-Trade,02/05/2023,0.510888
NG,N/A,QMLE-Trade,03/05/2023,0.62691
NG,N/A,QMLE-Trade,04/05/2023,0.594493
NG,N/A,QMLE-Trade,05/05/2023,0.648129
NG,N/A,QMLE-Trade,08/05/2023,0.591011
NG,N/A,QMLE-Trade,10/05/2023,0.536278
NG,N/A,QMLE-Trade,11/05/2023,0.600308
NG,N/A,QMLE-Trade,12/05/2023,0.682957
NG,N/A,QMLE-Trade,18/05/2023,0.802261
NG,N/A,QMLE-Trade,19/05/2023,0.684083
NG,N/A,QMLE-Trade,22/05/2023,0.644868
NG,N/A,QMLE-Trade,23/05/2023,0.475166
NG,N/A,QMLE-Trade,24/05/2023,0.465024
NG,N/A,QMLE-Trade,25/05/2023,0.56503
NG,N/A,QMLE-Trade,26/05/2023,0.54314
